Title,Content,Date
Covid-19: World's top latex glove maker shuts factories,"The world's largest maker of latex gloves will shut more than half of its 
factories after almost 2,500 employees tested positive for coronavirus.",24-Nov-20
Malaysia to shut some Top Glove factories in phases amid virus outbreak,"The world's largest maker of latex gloves has racked up record profits this 
year on sky-rocketing demand for its products and protective gear, thanks 
to the ...",23-Nov-20
Glove Stock That Surged This Year Slumps on Plant Virus ...,"Top Glove has more than 21,000 employees that churn out 90 billion gloves 
annually at 750 production lines. Photographer: Samsul Said/Bloomberg ...",23-Nov-20
"Amid virus crisis, U.S. bars imports of Malaysia's Top Glove over labour 
issues","The U.S. Customs and Border Protection (CBP) website showed Top Glove Sdn 
Bhd and TG Medical Sdn Bhd were placed on its list on Wednesday. Its 
“withhold release ...",15-Jul-20
US Bars Imports from Top Rubber Glove Maker Amid COVID Surge,"The CBP said it was aware of the critical need for rubber gloves during the 
pandemic and that the ban on Top Glove ""will not have a significant impact 
on total ...",17-Jul-20
"In rare occurence, Bursa glitches as Top Glove dips on US ...","KUALA LUMPUR (July 16): Top Glove Corp Bhd's share price fell below RM20 in 
Bursa Malaysia afternoon trades today, while its Singapore-listed shares 
dropped ...",16-Jul-20
Virus cases at world’s top glove maker imperil Malaysia’s economy,"Malaysia ordered Top Glove to close factories after huge jump in COVID-19 
cases among workers, threatening country's economic recovery. The global 
surge in ...",26-Nov-20
Glove grouping seeks approval to operate 100% capacity,"KUALA LUMPUR (Bernama): The Malaysian Rubber Glove Manufacturers 
Association (MARGMA) is seeking ... it might lead to a chronic shortage of 
medical gloves.",25-Mar-20
Malaysia's Top Glove fired whistleblower before virus outbreak,"KUALA LUMPUR (Reuters) - Yubaraj Khadka, a worker in Malaysia for Top Glove 
Corp, took two photos in May of fellow employees crowding into a factory of 
the ...",12-Dec-20
"Top Glove Posts Record Profit, Says Demand to Stay Robust","Top Glove Corp., the world's largest rubber gloves maker, posted a record 
first-quarter profit as the coronavirus pandemic continued to drive demand 
for ...",8-Dec-20
